
Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                     11256 Console                   14     32,240 K
Code.exe                      4020 Console                   14    154,604 K
Code.exe                     13768 Console                   14     46,512 K
Code.exe                      1752 Console                   14    231,068 K
Viber.exe                    14576 Console                   14    436,644 K
Code.exe                      6584 Console                   14    125,936 K
Code.exe                      7868 Console                   14    262,716 K
Code.exe                     11376 Console                   14    109,696 K
Code.exe                     10940 Console                   14     96,824 K
conhost.exe                  15504 Console                   14      6,792 K
bash.exe                     13492 Console                   14      5,300 K
conhost.exe                   8496 Console                   14      6,784 K
powershell.exe                9892 Console                   14     69,088 K
conhost.exe                   9464 Console                   14      6,756 K
powershell.exe               14956 Console                   14     69,172 K
conhost.exe                  11588 Console                   14      6,780 K
powershell.exe                 992 Console                   14     72,824 K
bash.exe                     12308 Console                   14     11,236 K
pet.exe                       9568 Console                   14      6,164 K
conhost.exe                   5988 Console                   14     11,488 K
conhost.exe                   3492 Console                   14      6,748 K
powershell.exe                3156 Console                   14     73,528 K
ONENOTEM.EXE                   908 Console                   14     12,640 K
WsToastNotification.exe       9560 Console                   14     12,948 K
conhost.exe                  11160 Console                   14     13,520 K
svchost.exe                  15848 Services                   0      7,968 K
chrome.exe                   12700 Console                   14     31,544 K
python.exe                    8788 Console                   14     10,272 K
tasklist.exe                  7428 Console                   14      9,368 K
WmiPrvSE.exe                 16056 Services                   0      9,824 K
